reference Smarter;reference SunDevice;IDP;Model;Capacity;Color;Grade
28-MED7481;;54747;iPhone 7 Plus;32;Silver;B
28-MED7482;;54740;iPhone 7 Plus;128;Silver;B
28-MED7483;;54756;iPhone 7 Plus;256;Silver;B
28-MED7487;;54715;iPhone 7 Plus;32;Pink;B
28-MED7488;;54726;iPhone 7 Plus;128;Pink;B
28-MED7489;;54741;iPhone 7 Plus;256;Pink;B
28-MED7490;;72625;iPhone 7 Plus;32;Black;B
28-MED7491;;72621;iPhone 7 Plus;128;Black;B
28-MED7492;;72627;iPhone 7 Plus;256;Black;B
28-MED7493;;54724;iPhone 7 Plus;32;Jet Black;B
28-MED7494;;54719;iPhone 7 Plus;128;Jet Black;B
28-MED7495;;54759;iPhone 7 Plus;256;Jet Black;B
28-PRE7463;;61804;iPhone 7 Plus;32;Silver;A
28-PRE7464;;61790;iPhone 7 Plus;128;Silver;A
28-PRE7465;;61799;iPhone 7 Plus;256;Silver;A
28-PRE7469;;61796;iPhone 7 Plus;32;Pink;A
28-PRE7470;;61792;iPhone 7 Plus;128;Pink;A
28-PRE7471;;61802;iPhone 7 Plus;256;Pink;A
28-PRE7472;;72623;iPhone 7 Plus;32;Black;A
28-PRE7473;;72622;iPhone 7 Plus;128;Black;A
28-PRE7474;;72620;iPhone 7 Plus;256;Black;A
